"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1914;429;426;"机场";"中国人民解放军空军";"Chengdu J-10";"11";"2025-09-20 21:06:00";"CGQ";"69624ef01bfcc_615A1763.jpeg";1;"";"";"2026-01-10 20:06:58";7;0;1;15;80;"top-left";0;0;6299;4201;5271;3515;"2026-01-10 13:06:58";"";"";"";0;0;0.0;""
1915;429;426;"飞机";"中国人民解放军空军";"Shanxi KJ-500";"20573";"2025-09-20 21:17:00";"CGQ";"696251bb20d13_615A1695.jpeg";1;"";"";"2026-01-10 20:18:51";6;0;1;15;80;"top-left";0;0;5280;3522;5280;3522;"2026-01-10 13:18:51";"";"";"";0;0;0.0;""
1916;427;429;"飞机";"sun air";"G650";"VN-A298";"2026-01-10 21:24:00";"ctu";"6962530f2bab2_IMG_0542.jpeg";1;"";"";"2026-01-10 20:24:31";7;0;1;5;10;"bottom-center";0;0;1280;720;1280;720;"2026-01-10 13:24:31";"";"";"";0;0;0.0;""
1919;427;429;"飞机";"中国国际航空";"A350-900";"B-308M";"2026-01-10 21:28:00";"ctu";"6962542e709d6_IMG_2574.jpeg";1;"";"";"2026-01-10 20:29:18";7;0;1;15;80;"bottom-center";0;0;1280;854;1280;854;"2026-01-10 13:29:18";"";"";"";0;0;0.0;""
1920;427;429;"飞机";"国泰航空";"A330";"B-HWM";"2026-01-10 21:30:00";"tfu";"696254789cd22_8dad35f10b218a48d084fbb53b6575b2.jpeg";1;"";"";"2026-01-10 20:30:32";9;0;1;15;80;"bottom-right";0;0;1280;854;1280;854;"2026-01-10 13:30:32";"";"";"";0;0;0.0;""
1921;427;426;"ctu";"中国国际航空";"A350-900";"B-307A";"2026-01-10 21:31:00";"ctu";"696254c518279_IMG_2235.jpeg";1;"";"";"2026-01-10 20:31:49";7;0;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-10 13:31:49";"";"";"";0;0;0.0;""
1922;427;426;"飞机";"成都航空";"A321";"B-32F9";"2026-01-10 21:32:00";"ctu";"696254f7e88fe_IMG_2182.jpeg";1;"";"";"2026-01-10 20:32:39";8;0;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-10 13:32:39";"";"";"";0;0;0.0;""
1923;427;429;"参考价格";"中国国际航空";"A319";"B-6235";"2026-01-10 21:33:00";"ctu";"6962555f012ce_IMG_1963.jpeg";1;"";"";"2026-01-10 20:34:23";8;0;1;15;80;"bottom-center";0;0;1280;720;1280;720;"2026-01-10 13:34:23";"";"";"";0;0;0.0;""
1924;427;429;"ZUUU刘某";"中国国际航空";"A350-900";"B-322H";"2026-01-10 21:35:00";"ctu";"696255a101537_IMG_2572.jpeg";1;"";"";"2026-01-10 20:35:29";8;0;1;15;80;"bottom-center";0;0;1280;854;1280;854;"2026-01-10 13:35:29";"";"";"";0;0;0.0;""
1925;427;426;"萌新首过sy哈哈哈哈哈哈哈哈哈哈哈哈哈哈";"四川航空";"A350-900";"B-32G6";"2026-01-10 21:37:00";"ctu";"69625628e66e8_IMG_1826.jpeg";1;"";"";"2026-01-10 20:37:44";10;1;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-10 13:37:44";"";"";"";0;0;0.0;""
1926;427;426;"你乖乖";"长龙航空";"A320";"B-8453";"2026-01-10 21:38:00";"ctu";"6962566dad6fa_IMG_1351.jpeg";1;"对比度";"";"2026-01-10 20:38:53";7;0;1;15;80;"top-left";0;0;1280;720;1280;720;"2026-01-10 13:38:53";"";"";"";0;0;0.0;""
1927;427;429;"飞机";"sun air";"G650";"VN-A579";"2120-01-10 21:41:00";"ctu";"69625732abad7_IMG_0510.jpeg";1;"";"";"2026-01-10 20:42:10";8;0;1;15;80;"bottom-center";0;0;1280;720;1280;720;"2026-01-10 13:42:10";"";"";"";0;0;0.0;""
1928;427;425;"农村入进成了";"N/A";"N/A";"N/A";"2026-01-10 22:03:00";"tfu";"69625c381e8bf_7ac446722fd1d063b9bf23b001ba05bb.jpeg";1;"";"";"2026-01-10 21:03:36";18;0;1;5;10;"bottom-left";0;1;1280;720;1280;720;"2026-01-10 14:03:36";"";"";"";0;0;0.0;""
1929;427;426;"sy过了";"中国南方航空";"a321";"B-327H";"2048-01-10 22:08:00";"ctu";"69625d4feb071_IMG_9191.jpeg";1;"";"";"2026-01-10 21:08:15";11;0;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-10 14:08:15";"";"";"";0;0;0.0;""
1930;93715;424;"彩绘";"中国南方航空";"A350-900";"B-308T";"2026-01-02 09:23:00";"广州白云国际机场";"6962fbe8da778_SJJ_2112.jpg";2;"can";"";"2026-01-11 08:24:57";0;0;1;12;95;"top-left";0;0;5337;3002;5337;3002;"2026-01-11 01:24:57";"";"";"";0;0;0.0;""
1931;93715;424;"南航";"中国南方航空";"A350-941";"B308T";"2026-01-02 09:34:00";"CAN";"6962febb27600_SJJ_2112.jpg";1;"";"";"2026-01-11 08:36:59";9;1;1;15;80;"top-left";0;0;5337;3002;5337;3002;"2026-01-11 01:36:59";"";"";"";0;0;0.0;""
1932;93712;427;"更亮的剪影";"japan airlines";"787-9";"JA861J";"2026-01-11 09:41:00";"CGK";"6962ffe93e2f7_IMG_5867.jpg";2;"对";"";"2026-01-11 08:42:01";2;0;1;15;80;"top-left";0;0;3434;1932;3434;1932;"2026-01-11 01:42:01";"";"";"";0;0;0.0;""
1933;427;424;"彼得和舅舅滴滴泪";"N/A";"N/A";"N/A";"2026-01-11 10:23:00";"ckg";"6963098f487d6_8dbcd4aadbbd044b856c0609c9bc6532.jpeg";1;"";"";"2026-01-11 09:23:11";10;0;1;15;80;"bottom-center";0;0;1280;720;1280;720;"2026-01-11 02:23:11";"";"";"";0;0;0.0;""
1934;93715;429;"国航";"中国国际航空";"737-79L";"B-5296";"2026-01-10 11:36:00";"CAN";"69631adb36222_SJJ_2721 (1).jpg";2;"不招";"";"2026-01-11 10:36:59";1;0;1;15;80;"top-right";0;0;4875;3441;4875;3441;"2026-01-11 03:36:59";"";"";"";0;0;0.0;""
1936;93715;427;"国航空客a320无搭载国旗";"中国国际航空";"A320-232";"B-6773";"2026-01-10 12:01:00";"CAN";"696320e893fa0_PSX_20260110_110708.jpg";1;"";"";"2026-01-11 11:02:48";9;0;1;15;80;"bottom-left";0;0;5087;3417;5087;3417;"2026-01-11 04:02:48";"";"";"";0;0;0.0;""
